Date/Time,Media Description,Media Link
"You uploaded a video on November 12, 2024 at 2:56 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQG3WcPpXU4VxA/BAQ1qTionA?e=1734987600&v=beta&t=0Ub0PaXNbW9ny69Bz3Z-R7gmR4JIOnXknoBq2ESfHk4
"You uploaded a video on November 12, 2024 at 2:15 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQF2LnPJ3TAUjQ/BAQDH5yucs?e=1734987600&v=beta&t=QUNuEFozgZbWTGH-tXFAQD7859GZJ--S-ez-dhPR51A
"You uploaded a video on November 11, 2024 at 10:43 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGSAqTH3ZLxow/BAQk9yvHeEa?e=1734987600&v=beta&t=9Qqhxr3WF3pUgOG5GpV9Kmiqli5oJG37jaQNeDh4Ogs
"You uploaded a video on November 4, 2024 at 9:04 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQETHur1PPPMmg/BAQhsrgVciB?e=1734987600&v=beta&t=F0TRCHM90oX8V7vOAmYCARVwk5pbdcftGjHXxvc3TmQ
"You uploaded a video on October 20, 2024 at 1:18 AM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHosePOxbF4Sw/BAQdUNQAeg?e=1734987600&v=beta&t=spuZFMyyxZlm8LHsxJ9oFI6oCW7UdCgw-pDEDZBNhaI
"You uploaded a video on September 18, 2024 at 6:20 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHmRIq_DJ9PUw/BAQzLU0JXo?e=1734987600&v=beta&t=tYHTMhG4gtimkTFQRPbCdCgjYmfKHirRITkhGRVUpi0
"You uploaded a video on September 2, 2024 at 7:09 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQGFiq-TDbEGFA/BAQB395so4d?e=1734987600&v=beta&t=m2Wf_-5kALQTzPnOAKs-f6Ml_8jdyybDejHCDX801U8
"You uploaded a video on August 30, 2024 at 7:03 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHmXJMFlkH-DQ/BAgk7j3oykfXAF84A?e=1734987600&v=beta&t=YewleHdIKGFVtzEKiG-MpBjz_mrwV-Cv2G6IOsmCYio
"You uploaded a video on August 27, 2024 at 11:53 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHbPSNk-kgZBA/BAgveLLsRKoini_EA?e=1734987600&v=beta&t=ege4g15YRut0wpIMlQ8foR7cTLth5V2-hei1VjGqE2I
"You uploaded a video on August 27, 2024 at 10:10 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4E05AQGv9iFpDfeMsA/BAQ7YdPPwc?e=1734987600&v=beta&t=05dEe_QaEURA8YBRBhD2J9u1YrtCSJEpJUtds-FOKOM
"You uploaded a video on August 27, 2024 at 4:44 PM (GMT)", -,https://dms.licdn.com/playlist/vid/dynamic/D4D05AQHRGi1ABFi_mw/BAg4mAuReBr9HOzhw?e=1734987600&v=beta&t=8ZMI0nI0BP9fc7zwXaTvnFdroU_Gi2Xyoe_Lct-mC-A
